gpf0,gpf1,gpf2,gpf3,gpf4,gpf5,gpf6,gpf7,gpf8,gpf9
-230420.3418696087,-984.4071397629764,-230916.80466913935,-230416.66117497004,-230422.332830212,-230420.25855150155,-501.84276374277545,-28.442183710590825,-504.5613956738608,-231363.30139314503
-231894.63682408963,-1468.9534381686644,-231401.3518382495,-231890.956129451,-231896.62778469292,-231894.5535059825,-989.0481824886664,-13.71299162512952,-989.107694079549,-231847.49092216548
-232391.8960254113,-1959.105582629976,-231891.5043668692,-232388.21533077268,-232393.88698601464,-232391.8127073042,-1480.0762925344732,-4.291147535711502,-1479.25983854086,-232338.63064405991
-250023.4510543077,-1002.3049826311212,-250515.71515801008,-250019.7223462627,-250026.5025549422,-250023.44897977103,-498.3507042877627,-26.38651684100887,-502.45923854200566,-250969.00402113376
-231495.923733546,-1077.382886206762,-231011.1902264742,-231492.2430389073,-231499.20912927133,-231495.85555410016,-596.0123539902825,-21.189123208359437,-597.5371421176465,-231455.64875157367
-251512.17304402345,-1486.6106196092635,-251000.0241592753,-251508.4443359784,-251515.22454465792,-251512.1709694868,-986.611469813735,-11.40025919659638,-986.7648755201482,-251453.0807558118
-232388.8588825469,-1956.083099173484,-231889.88515751623,-232385.17818790828,-232392.1442782723,-232388.79070310117,-1477.0538090779817,-0.8493902541245006,-1476.2373550843686,-232335.27018174037
-252507.63546468256,-2468.9744573201165,-251982.3903758964,-252503.9067566376,-252510.6869653171,-252507.633390146,-1970.4694520923808,5.5177076600110695,-1969.1287132310008,-252438.030053092
-222494.0598192975,-1566.3074153505172,-222014.8893063586,-222490.403696083,-222499.3716339836,-222493.6946136092,-1096.687809508447,-5.408067776646533,-1096.4616712614015,-222461.7368465176
-223375.581102787,-2436.4989550041573,-222885.0836416143,-223371.9249795725,-223380.89291747307,-223375.2158970987,-1968.0954728374013,8.797108619400149,-1966.6532109150417,-223333.97755260929
-224489.54732326392,-3539.365392083265,-223987.95171641212,-224485.8912000494,-224494.85913795,-224489.18211757563,-3071.880343425527,21.4616842445339,-3069.519647994149,-224440.3464262208
-302530.5271314391,-853.9911793549924,-302824.345210242,-302526.68439679855,-302535.98627292644,-302530.1463004195,-303.17796135429205,-40.33211013199491,-304.1454352658767,-303354.1958681289
-202518.127126094,-948.001191116902,-203016.5608031648,-202514.52134674243,-202523.5862675813,-202517.7462950744,-496.0324770185644,-20.85164793210617,-498.1554470277865,-203443.9635833095
-202518.127126094,-948.001191116902,-203016.5608031648,-202514.52134674243,-202523.5862675813,-202517.7462950744,-496.0324770185644,-20.85164793210617,-498.1554470277865,-203443.9635833095
-250022.6198105021,-1000.4737388255388,-250514.6800369507,-250018.8911024571,-250026.45788937132,-250022.6179168645,-496.5194604821802,-24.34180657058744,-500.62799473642326,-250966.9986392986
-303780.525569461,-1259.566440300203,-303229.9293076587,-303776.6828348204,-303785.9847109483,-303780.1447384414,-708.2987894499836,-19.815957032298343,-709.7206962110874,-303757.80380008335
-303780.525569461,-1259.566440300203,-303229.9293076587,-303776.6828348204,-303785.9847109483,-303780.1447384414,-708.2987894499836,-19.815957032298343,-709.7206962110874,-303757.80380008335
-251510.35489813983,-1484.79247372568,-250998.9993406153,-251506.6261900948,-251514.19297700908,-251510.3530045022,-984.7933239301514,-9.368647181939195,-984.9467296365646,-251451.08826662027
-304069.34889731545,-1543.395988763659,-303513.7612676453,-304065.50616267486,-304074.8080388028,-304068.96806629584,-993.172686837028,-11.991273921737388,-993.5502446745434,-304041.66658413975
-203965.96966573448,-1439.8168913162267,-203508.38138531143,-203962.3638863829,-203971.42880722176,-203965.58883471487,-990.065601714447,-6.375349256369134,-989.9711472271111,-203935.26481358084
-304069.34889731545,-1543.395988763659,-303513.7612676453,-304065.50616267486,-304074.8080388028,-304068.96806629584,-993.172686837028,-11.991273921737388,-993.5502446745434,-304041.66658413975
-203965.96966573448,-1439.8168913162267,-203508.38138531143,-203962.3638863829,-203971.42880722176,-203965.58883471487,-990.065601714447,-6.375349256369134,-989.9711472271111,-203935.26481358084
-204880.14548743487,-2341.851154384902,-204410.4188679448,-204876.5397080833,-204885.60462892216,-204879.76465641527,-1893.440886939339,8.921991548112885,-1892.0054102957863,-204839.23741801947
-204880.14548743487,-2341.851154384902,-204410.4188679448,-204876.5397080833,-204885.60462892216,-204879.76465641527,-1893.440886939339,8.921991548112885,-1892.0054102957863,-204839.23741801947
-252505.82658031245,-2467.165572950002,-251981.3728420168,-252502.09787226745,-252509.6646591817,-252505.8246866748,-1968.6605677222665,7.540057844022499,-1967.3198288608864,-252436.04675236475
-305068.3860712594,-2529.3222513632545,-304499.69130289694,-305064.5433366188,-305073.84521274664,-305068.0052402398,-1980.660258311429,5.374997270583549,-1979.4765072741388,-305029.827624947
-305068.3860712594,-2529.3222513632545,-304499.69130289694,-305064.5433366188,-305073.84521274664,-305068.0052402398,-1980.660258311429,5.374997270583549,-1979.4765072741388,-305029.827624947
-204969.92012407887,-2430.6118615909195,-204499.17976514972,-204966.3143447273,-204975.3792655661,-204969.5392930593,-1982.2941140114203,10.1134571238602,-1980.766117501804,-204928.2541003604
-204969.92012407887,-2430.6118615909195,-204499.17976514972,-204966.3143447273,-204975.3792655661,-204969.5392930593,-1982.2941140114203,10.1134571238602,-1980.766117501804,-204928.2541003604
-206701.32171596063,-4145.673126788252,-206214.2432240308,-206697.71593660905,-206706.7808574479,-206700.94088494105,-3698.645120256913,28.38882637824668,-3695.827382699137,-206648.84033140115
-206701.32171596063,-4145.673126788252,-206214.2432240308,-206697.71593660905,-206706.7808574479,-206700.94088494105,-3698.645120256913,28.38882637824668,-3695.827382699137,-206648.84033140115
-207966.35766377117,-5401.1214879527,-207469.6924008933,-207962.75188441956,-207971.8168052584,-207965.97683275156,-4954.734750141299,38.617856261866,-4951.275743863584,-207908.4662555776
-207966.35766377117,-5401.1214879527,-207469.6924008933,-207962.75188441956,-207971.8168052584,-207965.97683275156,-4954.734750141299,38.617856261866,-4951.275743863584,-207908.4662555776
-211715.86123826465,-9127.814807945637,-211196.3869898694,-211712.25545891305,-211721.32037975188,-211715.480407245,-8682.758013397148,62.271928254337865,-8677.969063856519,-211646.9330787501
-211715.86123826465,-9127.814807945637,-211196.3869898694,-211712.25545891305,-211721.32037975188,-211715.480407245,-8682.758013397148,62.271928254337865,-8677.969063856519,-211646.9330787501
